<BEGIN> Circle(10, 4, 4); BLACK <END>
<BEGIN> Circle(19, 11, 17); GREEN <END>
<BEGIN> Circle(5, 0, 13); RED <END>
<BEGIN> Circle(2, 14, 17); GREEN <END>
<BEGIN> Circle(19, 15, 5); BLACK <END>
<BEGIN> Circle(1, 1, 11); GREEN <END>
<BEGIN> Circle(10, 3, 13); BLUE <END>
<BEGIN> Circle(7, 18, 17); BLUE <END>
<BEGIN> Circle(2, 11, 16); GREEN <END>
<BEGIN> Circle(14, 14, 11); PURPLE <END>
<BEGIN> Circle(19, 15, 9); BLUE <END>
<BEGIN> Circle(0, 6, 18); BLACK <END>
<BEGIN> Circle(0, 17, 9); PURPLE <END>
<BEGIN> Circle(5, 7, 1); PURPLE <END>
<BEGIN> Circle(11, 8, 14); BLUE <END>
<BEGIN> Circle(18, 17, 16); BLUE <END>
<BEGIN> Circle(8, 9, 1); PURPLE <END>
<BEGIN> Circle(0, 10, 8); BLACK <END>
<BEGIN> Circle(3, 3, 1); GREEN <END>
<BEGIN> Circle(16, 8, 19); GREEN <END>
<BEGIN> Circle(14, 13, 13); BLACK <END>
<BEGIN> Circle(18, 1, 6); RED <END>
<BEGIN> Circle(9, 0, 10); RED <END>
<BEGIN> Circle(17, 4, 9); BLUE <END>
<BEGIN> Circle(8, 8, 4); PURPLE <END>
<BEGIN> Circle(1, 14, 0); BLACK <END>
<BEGIN> Circle(4, 17, 12); BLACK <END>
<BEGIN> Circle(2, 12, 14); PURPLE <END>
<BEGIN> Circle(18, 8, 6); GREEN <END>
<BEGIN> Circle(8, 15, 1); PURPLE <END>
<BEGIN> Circle(15, 2, 11); GREEN <END>
<BEGIN> Circle(11, 10, 18); GREEN <END>
<BEGIN> Circle(19, 16, 8); GREEN <END>
<BEGIN> Circle(18, 4, 7); BLACK <END>
<BEGIN> Circle(16, 9, 16); PURPLE <END>
<BEGIN> Circle(0, 9, 6); RED <END>
<BEGIN> Circle(12, 19, 3); GREEN <END>
<BEGIN> Circle(12, 18, 18); BLUE <END>
<BEGIN> Circle(17, 17, 16); PURPLE <END>
<BEGIN> Circle(3, 18, 19); BLUE <END>
<BEGIN> Circle(8, 1, 16); GREEN <END>
<BEGIN> Circle(10, 3, 13); RED <END>
<BEGIN> Circle(9, 0, 11); BLUE <END>
<BEGIN> Circle(17, 15, 15); BLACK <END>
<BEGIN> Circle(17, 0, 18); RED <END>
<BEGIN> Circle(5, 12, 9); RED <END>
<BEGIN> Circle(1, 13, 0); GREEN <END>
<BEGIN> Circle(16, 18, 11); GREEN <END>
<BEGIN> Circle(10, 5, 19); BLACK <END>
<BEGIN> Circle(14, 8, 5); BLUE <END>
<BEGIN> Circle(12, 8, 7); GREEN <END>
<BEGIN> Circle(11, 3, 0); GREEN <END>
<BEGIN> Circle(9, 9, 16); GREEN <END>
<BEGIN> Circle(6, 19, 3); PURPLE <END>
<BEGIN> Circle(7, 1, 19); BLUE <END>
<BEGIN> Circle(9, 2, 16); BLUE <END>
<BEGIN> Circle(4, 1, 1); BLACK <END>
<BEGIN> Circle(2, 7, 14); PURPLE <END>
<BEGIN> Circle(3, 11, 11); BLACK <END>
<BEGIN> Circle(11, 1, 6); BLUE <END>
<BEGIN> Circle(0, 13, 8); BLUE <END>
<BEGIN> Circle(14, 19, 19); PURPLE <END>
<BEGIN> Circle(5, 12, 19); RED <END>
<BEGIN> Circle(17, 12, 8); BLUE <END>
<BEGIN> Circle(18, 6, 6); BLACK <END>
<BEGIN> Circle(13, 1, 18); BLACK <END>
<BEGIN> Circle(15, 8, 9); PURPLE <END>
<BEGIN> Circle(3, 10, 19); BLUE <END>
<BEGIN> Circle(17, 5, 9); BLUE <END>
<BEGIN> Circle(7, 12, 15); GREEN <END>
<BEGIN> Circle(4, 2, 15); BLACK <END>
<BEGIN> Circle(5, 11, 15); PURPLE <END>
<BEGIN> Circle(4, 0, 19); BLACK <END>
<BEGIN> Circle(15, 5, 11); PURPLE <END>
<BEGIN> Circle(9, 8, 14); PURPLE <END>
<BEGIN> Circle(10, 6, 3); PURPLE <END>
<BEGIN> Circle(10, 2, 3); GREEN <END>
<BEGIN> Circle(12, 19, 2); BLUE <END>
<BEGIN> Circle(18, 10, 1); PURPLE <END>
<BEGIN> Circle(15, 10, 17); PURPLE <END>
<BEGIN> Circle(9, 3, 14); PURPLE <END>
<BEGIN> Circle(14, 4, 13); RED <END>
<BEGIN> Circle(8, 5, 5); PURPLE <END>
<BEGIN> Circle(3, 18, 6); GREEN <END>
<BEGIN> Circle(16, 15, 14); BLUE <END>
<BEGIN> Circle(19, 4, 11); RED <END>
<BEGIN> Circle(14, 18, 19); RED <END>
<BEGIN> Circle(19, 12, 11); PURPLE <END>
<BEGIN> Circle(7, 2, 18); BLUE <END>
<BEGIN> Circle(2, 0, 7); PURPLE <END>
<BEGIN> Circle(19, 15, 9); RED <END>
<BEGIN> Circle(13, 19, 9); RED <END>
<BEGIN> Circle(7, 15, 14); BLACK <END>
<BEGIN> Circle(12, 8, 9); BLUE <END>
<BEGIN> Circle(10, 16, 6); GREEN <END>
<BEGIN> Circle(9, 11, 10); GREEN <END>
<BEGIN> Circle(3, 8, 5); RED <END>
<BEGIN> Circle(0, 3, 17); GREEN <END>
<BEGIN> Circle(13, 7, 15); BLUE <END>
<BEGIN> Circle(0, 10, 11); GREEN <END>
<BEGIN> Circle(16, 15, 19); GREEN <END>
<BEGIN> Circle(7, 6, 13); PURPLE <END>
<BEGIN> Circle(0, 9, 18); GREEN <END>
<BEGIN> Circle(10, 2, 3); BLACK <END>
<BEGIN> Circle(2, 3, 9); BLACK <END>
<BEGIN> Circle(1, 14, 13); PURPLE <END>
<BEGIN> Circle(9, 9, 14); GREEN <END>
<BEGIN> Circle(16, 5, 0); RED <END>
<BEGIN> Circle(15, 14, 10); BLACK <END>
<BEGIN> Circle(12, 2, 2); BLUE <END>
<BEGIN> Circle(6, 11, 1); GREEN <END>
<BEGIN> Circle(8, 6, 1); BLUE <END>
<BEGIN> Circle(15, 8, 14); PURPLE <END>
<BEGIN> Circle(16, 19, 3); PURPLE <END>
